Time (s),Power (dBm),Percentage (%)
0.023621082,-41,100
0.523539543,-43,100
1.023714066,-43,100
1.523416996,-43,100
2.023770332,-47,100
2.523601532,-45,100
3.023586273,-45,100
3.523414135,-44,100
4.023791313,-49,100
4.523637295,-47,100
5.023739338,-57,86
5.523591518,-43,100
6.023567200,-47,100
6.523379326,-45,100
7.023781300,-44,100
7.523604393,-39,100
8.023707867,-44,100
8.523354053,-43,100
9.023558617,-45,100
9.523376942,-43,100
10.023737907,-57,86
10.523572445,-45,100
11.023571014,-53,94
11.523363590,-51,98
12.023522377,-47,100
12.523460865,-45,100
13.023693562,-45,100
13.523542881,-43,100
14.023651123,-49,100
14.523323536,-45,100
15.023464203,-42,100
15.523504257,-47,100
16.023627758,-45,100
16.523475170,-47,100
17.023623943,-49,100
17.523287773,-51,98
18.023508072,-43,100
18.523459911,-43,100
19.023592949,-44,100
19.523444176,-39,100
20.023582459,-47,100
20.523237228,-53,94
21.023454189,-43,100
21.523459434,-45,100
22.023540497,-39,100
22.523283481,-35,100
23.023389339,-47,100
23.523229599,-45,100
24.023471355,-39,100
24.523427963,-44,100
25.023488045,-47,100
25.523338795,-47,100
26.023359299,-51,98
26.523252010,-49,100
27.023566246,-49,100
27.523397446,-39,100
28.023436069,-39,100
28.523324013,-43,100
29.023370743,-39,100
29.523221493,-49,100
