Time (s),Humidity (%)
0.440526009,21.52734
1.441546917,18.9043
2.440089703,17.20605
3.441110611,19.9248
4.442131519,18.06055
5.440674305,18.23828
6.441695213,17.60938
7.440237522,19.22363
8.441319466,16.97949
9.439865589,15.67188
10.440885067,17.27539
11.441904545,16.76465
12.440446377,17.2627
13.441540241,17.27441
14.440081120,17.55859
15.441098690,17.02344
16.439638138,16.67871
17.440655708,19.08789
18.441671848,16.03613
19.440543175,17.65039
20.441558838,16.90137
21.440095902,15.96289
22.441109657,18.66895
23.442123890,17.04199
24.440659046,16.75684
25.441671848,17.30176
26.440206051,16.84961
27.441216469,18.7959
28.439749718,16.70605
29.440759659,17.09668
