Time (s),W,X,Y,Z
0.001963139,-0.995772,0.04092508,-0.0115409,-0.05707625
0.021785736,-0.9957651,0.04091803,-0.01156397,-0.05719701
0.041604519,-0.9957586,0.04084169,-0.01155597,-0.05736633
0.061427116,-0.9957532,0.04081302,-0.0115694,-0.05747736
0.081249714,-0.995755,0.04080734,-0.01156843,-0.05745035
0.101071835,-0.9957574,0.04084948,-0.01156224,-0.05738012
0.120894432,-0.9957553,0.04094097,-0.0115571,-0.05735241
0.140717506,-0.9957559,0.04090974,-0.01155672,-0.05736528
0.160540104,-0.995753,0.0409033,-0.01155516,-0.05741886
0.180362225,-0.9957516,0.04085398,-0.01154679,-0.05748096
0.200184822,-0.9957501,0.04081389,-0.01155223,-0.05753459
0.220007420,-0.9957495,0.04087107,-0.01156331,-0.05750276
0.239826202,-0.9957532,0.04081377,-0.01155699,-0.05748009
0.262126923,-0.9957553,0.04082807,-0.01155024,-0.0574347
0.281949520,-0.9957566,0.04081039,-0.01154311,-0.05742724
0.301771641,-0.9957582,0.04081107,-0.0115314,-0.05739888
0.321594238,-0.995756,0.04088838,-0.01152443,-0.05738567
0.341417313,-0.995753,0.04090589,-0.01156029,-0.05741551
0.361239910,-0.995753,0.04091719,-0.01158181,-0.05740314
0.381062031,-0.9957563,0.0409262,-0.01161538,-0.05733304
0.400884628,-0.9957578,0.04087404,-0.01163378,-0.05734202
0.420707226,-0.9957631,0.04078224,-0.01161578,-0.05731842
0.440526009,-0.9957618,0.04085691,-0.01163518,-0.05728492
0.460348606,-0.9957658,0.04085128,-0.01156014,-0.05723474
0.480171203,-0.9957259,0.04101919,-0.01369133,-0.0573373
0.499993324,-0.9956716,0.03805362,-0.01466867,-0.06002135
0.519816399,-0.9951645,0.04820957,-0.01748062,-0.06037808
0.542117119,-0.9940853,0.06120071,-0.02604634,-0.06323045
0.561939716,-0.9931577,0.07052255,-0.03600159,-0.06321274
0.581761837,-0.9915994,0.08550246,-0.04219334,-0.065325
0.601584434,-0.9898397,0.1021107,-0.04597109,-0.06561209
0.621407032,-0.9881423,0.111045,-0.05480469,-0.06977109
0.641225815,-0.9836242,0.1342716,-0.07470617,-0.07416996
0.661048412,-0.9781177,0.1666178,-0.08366295,-0.07177843
0.680871010,-0.9757582,0.1922911,-0.0476144,-0.07266563
0.700693130,-0.9832419,0.1531519,-0.03291595,-0.07296471
0.720516205,-0.9799486,0.1671054,-0.05285291,-0.07490359
0.740338802,-0.978204,0.1799707,-0.04073894,-0.07546816
0.760161400,-0.98163,0.1612062,-0.03163903,-0.07772772
0.779983520,-0.9817646,0.1560021,-0.0451157,-0.07996137
0.799806118,-0.9746421,0.1936687,-0.05227055,-0.08037852
0.822106361,-0.9829167,0.1485208,-0.04387078,-0.08074234
0.841925621,-0.9810618,0.154006,-0.05886291,-0.08344249
0.861748219,-0.9815101,0.1601508,-0.0274638,-0.08284406
0.881570816,-0.9857453,0.1278616,-0.03726789,-0.08483125
0.901392937,-0.9814295,0.1540429,-0.05111107,-0.08415402
0.921216011,-0.9819711,0.1578758,-0.02267761,-0.08319519
0.941038609,-0.9897573,0.09580383,-0.01936602,-0.08633906
0.960861206,-0.9923725,0.0564311,-0.02073457,-0.09060933
0.980683327,-0.9925346,0.05232949,-0.0184534,-0.09178156
1.000505924,-0.9939291,0.01385421,-0.009597258,-0.09191558
1.020328999,-0.9933324,0.004443744,0.03903854,-0.09150891
1.040147305,-0.9268906,0.0308723,0.3473126,-0.1261624
1.059969902,-0.7578874,0.03478895,0.6396441,-0.1089688
1.079792500,-0.6689552,0.04139763,0.7350588,-0.08426839
1.102092743,-0.6801971,0.0422352,0.7240616,-0.08894059
1.121915817,-0.6690696,0.07176946,0.7283338,-0.1155526
1.141738415,-0.6699478,0.06601434,0.7302023,-0.1012142
1.161561012,-0.6630887,0.07027504,0.7365173,-0.0976973
1.181383133,-0.659952,0.06249949,0.741419,-0.08650211
1.201205730,-0.6553118,0.07073351,0.7441776,-0.09159997
1.221028805,-0.6507493,0.07531314,0.7479469,-0.08975639
1.240847111,-0.6419247,0.08666119,0.7534898,-0.09645425
1.260669708,-0.6336504,0.08865455,0.7606887,-0.09277916
1.280492306,-0.6392343,0.08478163,0.7580501,-0.07860859
1.300315380,-0.6273052,0.09009832,0.7670646,-0.08130183
1.320137501,-0.6247107,0.09431992,0.7682386,-0.08530691
1.339960098,-0.6274441,0.08211034,0.7692009,-0.06730076
1.359782696,-0.6213468,0.09039662,0.7726908,-0.07302809
1.382082939,-0.6153945,0.08864694,0.7784923,-0.06331481
1.401905537,-0.606037,0.08928127,0.7860799,-0.05877081
1.421728611,-0.5990648,0.08930703,0.7919194,-0.05135129
1.441546917,-0.5951765,0.0971632,0.7932951,-0.06028818
1.461369514,-0.5840105,0.1088388,0.7998077,-0.06341232
1.481192112,-0.3689146,0.1136657,0.9164156,-0.08823755
1.501015186,-0.04653982,0.08441991,0.9935983,-0.009564773
1.520837307,0.1578846,0.0926343,0.9809548,0.02909629
1.540659904,0.1383539,0.0772057,0.9845076,-0.04763798
1.560482502,0.1391072,0.06556605,0.9815633,-0.09752618
1.580304623,0.1291886,0.05136795,0.9751819,-0.1622312
1.600127697,0.136431,0.04241497,0.966608,-0.2046556
1.619950294,0.1830681,0.05910094,0.967172,-0.1555601
1.639768600,0.1695411,0.05958467,0.9694975,-0.1562295
1.662069321,0.1706532,0.05415338,0.9677078,-0.167673
1.681891441,0.1742816,0.05964538,0.9709504,-0.1412497
1.701714992,0.169503,0.04317636,0.9628611,-0.1973085
1.721537113,0.1771815,0.05143599,0.9669259,-0.1662619
1.741359711,0.1692271,0.05503189,0.9709218,-0.1492391
1.761182308,0.179368,0.04584683,0.9635863,-0.1839955
1.781004429,0.1787033,0.05671357,0.9705786,-0.1394762
1.800827503,0.1721429,0.04594037,0.9640877,-0.188198
1.820650101,0.182543,0.05151657,0.9678613,-0.1545835
1.840468407,0.1914644,0.06777418,0.9743451,-0.07763354
1.860291004,0.1838411,0.06977256,0.9770923,-0.05703206
1.880113602,0.1766645,0.07162222,0.9790652,-0.04145945
1.899936676,0.1906539,0.07672548,0.9768907,-0.008749207
1.919758797,0.3384022,0.04986623,0.937098,-0.03829223
1.942059517,0.654069,0.01345296,0.7514389,0.06304657
1.961881638,0.8292808,0.02074562,0.548772,0.08566839
1.981704235,0.8302047,0.03202498,0.5470226,0.08443034
2.001527309,0.8304377,0.01299692,0.5491902,0.07226402
2.021349907,0.8267775,-0.004047776,0.5562692,0.06012424
2.041168213,0.8278601,0.01691913,0.5537296,0.06612661
2.060990810,0.8276291,0.02279993,0.5539601,0.06531467
2.080813408,0.8265589,0.0256601,0.5557194,0.06281451
2.100636482,0.8248417,0.02953163,0.5576584,0.06639785
2.120458603,0.827324,0.02754656,0.5548049,0.05996217
2.140281200,0.8305599,0.01991685,0.5511587,0.05123632
2.160103798,0.8262637,0.02018519,0.5575818,0.05109835
2.179926872,0.8233759,0.02312105,0.5619433,0.04863196
2.199748993,0.8313575,0.02119061,0.5504013,0.04562822
2.222049713,0.8265917,0.03742174,0.555529,0.05797397
2.241868019,0.8301933,0.02589255,0.5516343,0.04935412
2.261690617,0.825725,0.03800894,0.5572851,0.0528627
2.281512737,0.8258767,0.05220487,0.5553713,0.05824718
2.301336289,0.8288873,0.05516455,0.5506718,0.05736765
2.321158409,0.829415,0.05088126,0.5510332,0.04971849
2.340981007,0.8286607,0.0406733,0.5537885,0.0401625
2.360803604,0.8649637,-0.0106948,0.4981943,0.01214464
2.380626679,0.9766644,-0.01437882,0.1873749,0.08621482
2.400448799,0.9833065,-0.0001931231,-0.1432006,0.09604725
2.420271397,0.9772115,-0.00952287,-0.1826076,0.09082413
2.440089703,0.9729987,-0.09786058,-0.1650706,0.114351
2.459912300,0.9680784,-0.1405992,-0.1551896,0.1248983
2.479735374,0.9573784,-0.2081804,-0.1292964,0.1414111
2.502035618,0.9489007,-0.2088044,-0.1853902,0.1350783
2.521858215,0.9610264,-0.1650547,-0.1745892,0.1238199
2.541680813,0.952028,-0.2100051,-0.166845,0.1353916
2.561502933,0.9578695,-0.1824624,-0.1730249,0.1260283
2.581326485,0.9564193,-0.1965215,-0.1609954,0.1317169
2.601148605,0.9525266,-0.1968629,-0.1826737,0.1311337
2.620971203,0.9577388,-0.1778149,-0.1782611,0.1263677
2.640789509,0.9564708,-0.2021632,-0.1498774,0.1358603
2.660612106,0.9561033,-0.1858694,-0.1773265,0.1284589
2.680435181,0.9588374,-0.177349,-0.1725332,0.1266409
2.700257778,0.9495139,-0.2168592,-0.1710102,0.1370335
2.720079899,0.961694,-0.1512665,-0.1843505,0.1220861
2.739902496,0.9659755,-0.0924313,-0.2070965,0.1099385
2.759725571,0.9678798,-0.08896469,-0.1991867,0.110661
2.782025337,0.9710632,-0.05021952,-0.2000432,0.1054724
2.801848412,0.9611713,-0.04689194,-0.2457037,0.1010326
2.821671009,0.8322312,-0.05421054,-0.5324385,0.1326049
2.841489315,0.6069582,-0.04801882,-0.7852809,0.09618919
2.861311913,0.5181324,-0.05562075,-0.84886,0.06715366
2.881134987,0.52367,-0.05933226,-0.8440922,0.07990731
2.900957584,0.5126238,-0.07640986,-0.8466483,0.1057947
2.920779705,0.5170735,-0.0751147,-0.8454419,0.09406547
2.940602303,0.5052581,-0.08048508,-0.8520942,0.09380626
2.960424900,0.5015395,-0.078289,-0.8556635,0.08244099
2.980247974,0.4977983,-0.08053761,-0.8579722,0.07887931
3.000070095,0.4988495,-0.07900973,-0.8580142,0.07311522
3.019892693,0.4854423,-0.09188377,-0.8631423,0.08669542
3.039710999,0.4761655,-0.09485601,-0.868403,0.08229608
3.062011719,0.4785283,-0.102186,-0.865805,0.08705102
3.081834793,0.4733525,-0.09575792,-0.8709846,0.06914878
3.101656914,0.4614528,-0.103842,-0.8753885,0.08124458
3.121479511,0.4622236,-0.1055332,-0.8748849,0.08010079
3.141302109,0.4700302,-0.1033183,-0.8717618,0.07110506
3.161124706,0.4518333,-0.1037315,-0.8823467,0.05637795
3.180947781,0.4450276,-0.1035603,-0.8863947,0.04644921
3.200769901,0.4443746,-0.1098977,-0.8856316,0.05232576
3.220592499,0.4305887,-0.1171121,-0.8910984,0.05873125
3.240410805,0.4208316,-0.1190868,-0.8959268,0.05159344
3.260233879,0.1962944,-0.1170177,-0.9680862,0.08488822
3.280056477,-0.131072,-0.09047344,-0.9854692,-0.01034881
3.299879074,-0.3467968,-0.09633923,-0.930128,-0.04404689
3.319701195,-0.3210405,-0.07031568,-0.9424951,0.01784556
3.342001915,-0.3239561,-0.0489789,-0.9405502,0.06816242
3.361824036,-0.3129104,-0.01789024,-0.9373553,0.1405672
3.381647110,-0.3409618,-0.01042806,-0.9240332,0.1625618
3.401469708,-0.3647952,-0.0316653,-0.9213539,0.116859
3.421292305,-0.3448161,-0.02593507,-0.9269982,0.1331586
3.441110611,-0.3619565,-0.02040307,-0.919095,0.1430488
3.460933208,-0.3608775,-0.03784423,-0.9245753,0.1006155
3.480756283,-0.3566054,-0.01043087,-0.9206982,0.1471944
3.500578880,-0.3693059,-0.0244168,-0.9198611,0.1161906
3.520401001,-0.3519863,-0.0273741,-0.9272243,0.1106269
3.540223598,-0.3643845,-0.01214243,-0.9199221,0.132089
3.560046673,-0.3650072,-0.02697714,-0.9227639,0.1057188
3.579869270,-0.34781,-0.008312159,-0.92447,0.1447132
3.599691391,-0.3868822,-0.02316582,-0.9136974,0.107565
3.621992111,-0.3823911,-0.0608553,-0.9199747,0.01864277
3.641810417,-0.3738468,-0.05874885,-0.9236667,0.01595723
3.661633015,-0.3750553,-0.0626041,-0.9230609,0.0006531587
3.681456089,-0.3841692,-0.07583354,-0.9176105,-0.03580396
3.701278210,-0.5470326,-0.02126846,-0.834763,-0.009774732
3.721100807,-0.783546,0.0008964106,-0.6110135,-0.09664213
3.740923405,-0.9179933,-0.005001284,-0.3761979,-0.1111994
3.760746479,-0.919923,-0.01397157,-0.3720959,-0.1082527
3.780569076,-0.9215467,0.002844164,-0.3701557,-0.1017642
3.800391197,-0.9178635,0.01626431,-0.3805166,-0.09537722
3.820213795,-0.9208412,0.007168561,-0.3736591,-0.09490307
3.840032101,-0.9195005,0.01719502,-0.3778433,-0.08991793
3.859855175,-0.9226156,0.0007312546,-0.369644,-0.09365213
3.879677772,-0.9175028,0.003760909,-0.3824016,-0.09258062
3.901978016,-0.9235461,0.0003518116,-0.3684067,-0.08925611
3.921800613,-0.9231645,0.007159107,-0.3706396,-0.08348718
3.941623211,-0.9225324,0.01220007,-0.3725612,-0.08130699
3.961445332,-0.9187935,-0.01421781,-0.3805775,-0.08605208
3.981268406,-0.9263493,0.0009602382,-0.3637334,-0.07875125
4.001091003,-0.9205604,0.0007454925,-0.3778071,-0.08035943
4.020913601,-0.9242295,0.003319874,-0.3688161,-0.07994428
4.040731907,-0.9253861,-0.003938265,-0.3662544,-0.07829805
4.060554981,-0.9248758,-0.02166747,-0.3662079,-0.08157542
4.080377579,-0.9247959,-0.007661824,-0.3683286,-0.07520348
4.100200176,-0.9286031,-0.01053091,-0.3582636,-0.07655273
4.120022297,-0.9297358,-0.004951422,-0.3565775,-0.07104187
4.139844894,-0.9455581,0.06188836,-0.310455,-0.04826804
4.159667969,-0.9909819,0.05674661,0.02118389,-0.1044432
4.181968212,-0.9196558,0.04428963,0.3757493,-0.08780048
4.201790810,-0.9192749,0.07090047,0.3691565,-0.1012796
4.221613407,-0.9116755,0.1296244,0.3639133,-0.127436
4.241431713,-0.9076462,0.1736828,0.3463762,-0.1505439
4.261254311,-0.8978049,0.2345323,0.3236156,-0.1756169
4.281077385,-0.8774208,0.2407125,0.3768435,-0.1637279
4.300899506,-0.894249,0.1948988,0.3707351,-0.1466847
4.320722103,-0.8823962,0.2377427,0.3661565,-0.1655661
4.340544701,-0.8916757,0.2179995,0.3586282,-0.1593866
4.360367775,-0.8920782,0.2091268,0.3652195,-0.1539625
4.380190373,-0.8821352,0.2419819,0.3612042,-0.1715843
