Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.001963139,-0.07964666,-0.07832224,-0.1243198,0.02385673,0.08624697,0.9839893,22.41547,5.906391,33.60878,882.6826
0.021785736,-0.2664493,0.03962503,-0.001926631,0.01947941,0.08190196,0.9883105,22.41547,5.906391,33.60878,882.6826
0.041604519,-0.0791102,0.1573131,-0.1241181,0.01606443,0.07455567,0.9854473,22.41547,5.906391,33.60878,882.6809
0.061427116,0.1075241,-0.01924541,-0.1241906,0.01751304,0.07844256,0.9844851,22.05681,5.183512,33.62881,882.6809
0.081249714,0.04501772,-0.0193451,0.1204563,0.01703745,0.08094206,0.990232,22.05681,5.183512,33.62881,882.6809
0.101071835,0.2319657,-0.01938897,-0.1244117,0.0160048,0.08673129,0.9864016,22.05681,5.183512,33.62881,882.6809
0.120894432,-0.2045259,0.09848426,-0.001864657,0.01702342,0.0863286,0.9931036,22.44226,5.552204,34.42395,882.6791
0.140717506,-0.2661121,-0.07833339,0.1205476,0.01997016,0.08338074,0.9897456,22.44226,5.552204,34.42395,882.6791
0.160540104,0.2321346,0.09852619,-0.001701809,0.01798692,0.08037361,0.9830468,22.05265,5.547692,33.62235,882.6809
0.180362225,-0.2659878,-0.01945333,0.120518,0.01504552,0.08185605,0.9859265,22.05265,5.547692,33.62235,882.6809
0.200184822,0.2325715,-0.01953389,0.120273,0.01946129,0.07939482,0.982086,22.05265,5.547692,33.62235,882.6809
0.220007420,-0.266412,0.2160717,0.05905527,0.01991007,0.0906278,0.9854338,22.42378,5.178032,33.62169,882.6809
0.239826202,0.2323633,0.1569313,-0.06340448,0.02191268,0.08678298,0.9887823,22.42378,5.178032,33.62169,882.6809
0.262126923,-0.01688676,0.03907029,-0.06334061,0.01353776,0.08275482,0.9801832,22.05681,5.183512,33.62881,882.6809
0.281949520,-0.1415518,0.09806932,-0.1244623,0.01996578,0.08238474,0.9878304,22.05681,5.183512,33.62881,882.6809
0.301771641,0.04531737,-0.01968712,0.05917351,0.01309842,0.07795009,0.9854532,22.05681,5.183512,33.62881,882.6809
0.321594238,0.2319909,0.03923771,-0.1855791,0.01647868,0.08866233,0.9849634,22.41962,5.542212,33.61524,882.6809
0.341417313,0.1697388,-0.1372279,-0.001866698,0.02242986,0.08783235,0.9950061,22.41962,5.542212,33.61524,882.6809
0.361239910,-0.01696652,0.03961323,-0.001862109,0.02535695,0.08631561,0.9892533,22.43596,5.183413,34.05715,882.6809
0.381062031,-0.5152261,-0.3137193,0.1204157,0.02784613,0.08246128,0.9916431,22.43596,5.183413,34.05715,882.6791
0.400884628,0.4810687,0.157664,0.05912084,0.01652647,0.08237125,0.9878383,22.43596,5.183413,34.05715,882.6791
0.420707226,-0.07876202,0.3341159,0.1199841,0.01754566,0.08049171,0.9931041,21.70202,5.194372,34.07138,882.6791
0.440526009,0.8544348,-0.01914263,-0.06383253,0.01499964,0.0832243,0.9782642,21.70202,5.194372,34.07138,882.6791
0.460348606,-1.511737,0.3338984,-0.06382596,0.005714641,0.08281545,0.9878632,22.40744,5.536831,33.17978,882.6791
0.480171203,3.843958,-31.12514,-0.3084241,2.076086,0.2048374,0.9868754,22.40744,5.536831,33.17978,882.6791
0.499993324,38.53144,-28.65083,-6.24333,0.3579316,-0.3154305,-0.1276424,22.40744,5.536831,33.17978,882.6791
0.519816399,5.276295,17.94879,-3.428838,-0.6894312,-0.1995486,0.2257547,22.0098,5.162759,31.94917,882.6791
