Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.440526009,41.5,32.248
1.441546917,41.512,32.248
2.440089703,41.528,32.246
3.441110611,41.528,32.246
4.442131519,41.484,32.244
5.440674305,41.496,32.244
6.441695213,41.446,32.242
7.440237522,41.472,32.24
8.441319466,41.414,32.24
9.439865589,41.434,32.238
10.440885067,41.414,32.236
11.441904545,41.448,32.234
12.440446377,41.438,32.232
13.441540241,41.414,32.228
14.440081120,41.388,32.226
15.441098690,41.352,32.224
16.439638138,41.346,32.22
17.440655708,41.35,32.216
18.441671848,41.266,32.212
19.440543175,41.314,32.21
20.441558838,41.296,32.206
21.440095902,41.292,32.202
22.441109657,41.24,32.2
23.442123890,41.25,32.196
24.440659046,41.22,32.192
25.441671848,41.198,32.188
26.440206051,41.14,32.184
27.441216469,41.192,32.18
28.439749718,41.114,32.176
29.440759659,41.088,32.172
