Time (s),W,X,Y,Z
0.000000000,0.2934545,0.04713451,-0.07164276,0.9503462
0.020018578,0.293424,0.04712457,-0.07169476,0.9503522
0.040036678,0.2934717,0.0471311,-0.07169702,0.9503369
0.060055256,0.2935447,0.04713555,-0.07164922,0.9503177
0.080072880,0.2936064,0.04713579,-0.07162179,0.9503008
0.100091457,0.2936092,0.04712732,-0.07159879,0.950302
0.120110035,0.2936217,0.04710995,-0.0716164,0.9502978
0.140127659,0.293634,0.0471229,-0.07165018,0.9502907
0.160146236,0.2936748,0.04713188,-0.07167481,0.9502758
0.180164814,0.2936807,0.04713267,-0.07168389,0.9502732
0.200183392,0.2936303,0.04713169,-0.07167738,0.9502894
0.220201016,0.2935858,0.04711019,-0.07166021,0.9503055
0.240219593,0.2935492,0.04709964,-0.0716693,0.9503166
0.260237694,0.2935024,0.04710144,-0.0716959,0.9503289
0.277753830,0.2934857,0.04708173,-0.07172114,0.9503332
0.297771931,0.2935044,0.04709313,-0.07162283,0.9503343
0.317790032,0.2935202,0.04711207,-0.07156207,0.9503331
0.337808609,0.293518,0.04710419,-0.071569,0.9503336
0.357826710,0.2935204,0.04710704,-0.0716228,0.9503286
0.377844811,0.2935184,0.04709749,-0.07165218,0.9503276
0.397862911,0.2934919,0.04709845,-0.07167444,0.9503341
0.417881489,0.2934539,0.04708273,-0.07169325,0.950345
0.437900066,0.2934627,0.04705977,-0.07169072,0.9503438
0.457917690,0.2934524,0.04737922,-0.07156239,0.9503407
0.477936268,0.2936297,0.04942409,-0.06985899,0.9503084
0.497954846,0.2939983,0.05403611,-0.06928349,0.9499855
0.517972469,0.2943141,0.05829374,-0.07088125,0.9495181
0.537991047,0.2948645,0.06571452,-0.0719656,0.948781
0.558009625,0.2956695,0.07352357,-0.07766962,0.9475067
0.578027725,0.2962911,0.07894119,-0.08584346,0.9461704
0.598045826,0.2959907,0.0786389,-0.09839981,0.9450665
0.618064404,0.2953107,0.08491402,-0.1131499,0.9430832
0.638082504,0.2949224,0.09589913,-0.1301737,0.9399503
0.658100605,0.294949,0.1160669,-0.1504009,0.934634
0.678118706,0.2918481,0.1281369,-0.1769932,0.9293582
0.698137283,0.2878107,0.1171797,-0.2003223,0.9273254
0.718155861,0.2875203,0.1050366,-0.1943925,0.9301282
0.738173485,0.288404,0.09727956,-0.1611352,0.9370288
0.758192063,0.2867671,0.1114905,-0.1785941,0.9327735
0.778210640,0.2847087,0.1086493,-0.197336,0.9299583
0.798228264,0.2866861,0.09945433,-0.1763468,0.9345852
0.818246842,0.2864054,0.1176029,-0.1877969,0.9303233
0.838265419,0.2836114,0.1043423,-0.1881168,0.9326934
0.858283043,0.2845607,0.09591366,-0.1521465,0.9398429
0.878301620,0.2849926,0.108231,-0.177445,0.9339197
0.898319721,0.2854557,0.09724049,-0.1656297,0.9371519
0.918338299,0.2873595,0.09571781,-0.1506321,0.9392551
0.938356400,0.2838072,0.08450253,-0.1663014,0.9387673
0.958374500,0.2854107,0.06646524,-0.1397605,0.944043
0.978393078,0.2891952,0.05245275,-0.07894155,0.9507948
0.998410702,0.292253,0.05259186,-0.06945033,0.9505927
1.018429279,0.2936992,0.03668469,-0.01599102,0.9532925
1.038447857,0.2956011,-0.02519686,-0.01837217,0.953034
1.058466434,0.2810212,-0.3369498,-0.09107643,0.8920871
1.078484058,0.247948,-0.6150031,-0.1838185,0.7232743
1.098502636,0.2237186,-0.6772506,-0.201077,0.6689374
1.118521214,0.2387178,-0.6667727,-0.2101252,0.6714931
1.138538837,0.2241145,-0.6864575,-0.2133325,0.655489
1.158557415,0.2247389,-0.6799148,-0.2052214,0.6646203
1.178575516,0.2382405,-0.6733154,-0.2100637,0.6651229
1.198593617,0.2484049,-0.6770159,-0.2300557,0.6508813
1.218612194,0.2542537,-0.6772359,-0.2363179,0.6461332
1.238630295,0.2239465,-0.6914902,-0.2157858,0.6494254
1.258648872,0.2275222,-0.6920906,-0.2187606,0.6465413
1.278666496,0.2195482,-0.7027791,-0.2214999,0.6367618
1.298685074,0.2070192,-0.7137528,-0.2197253,0.6293238
1.318703652,0.1984127,-0.7071368,-0.2121128,0.6420482
1.338721275,0.2048438,-0.7098324,-0.2150048,0.6360639
1.358739853,0.2252025,-0.710123,-0.2355005,0.6214306
1.378758431,0.2268009,-0.7104933,-0.243229,0.6174365
1.398777008,0.2111264,-0.7260273,-0.239601,0.6062418
1.418794632,0.2039951,-0.7328925,-0.2439116,0.5986563
1.438813210,0.1852093,-0.74229,-0.237956,0.5955733
1.458831310,0.1791054,-0.7424672,-0.2313879,0.5997924
1.478849411,0.1220234,-0.8460088,-0.2500325,0.4510936
1.498867512,0.03829694,-0.9503224,-0.2710198,0.136349
1.518886089,-0.01199145,-0.9563085,-0.2644371,-0.1096853
1.538904190,-0.01008181,-0.9549833,-0.2629997,-0.1239516
1.558922291,0.08015268,-0.9545184,-0.2468402,-0.1347868
1.578940869,0.1104844,-0.9540613,-0.2375947,-0.133177
1.598959446,0.1560739,-0.9461731,-0.2291235,-0.1566122
1.618977070,0.1317421,-0.9477839,-0.2331098,-0.1632081
1.638995648,0.1442819,-0.9491265,-0.2326613,-0.1443515
1.659014225,0.1421776,-0.9454538,-0.233355,-0.1675576
1.679031849,0.1123768,-0.9508008,-0.2361672,-0.1555694
1.699050427,0.1377146,-0.9465706,-0.2270709,-0.1735078
1.719069004,0.1423926,-0.9468303,-0.226916,-0.1684444
1.739086628,0.15222,-0.9497861,-0.2241734,-0.145289
1.759105206,0.1527338,-0.9466172,-0.2238187,-0.1646847
1.779123306,0.1440064,-0.94801,-0.2244447,-0.1636803
1.799141884,0.1488534,-0.944199,-0.2234835,-0.1816958
1.819159985,0.110052,-0.9494469,-0.232728,-0.1700116
1.839178086,0.01907971,-0.9537877,-0.2500985,-0.15493
1.859196663,0.021091,-0.955285,-0.2444438,-0.1544684
1.879214287,-0.01867098,-0.9555977,-0.249327,-0.1447344
1.899232864,-0.07670875,-0.9357456,-0.2457947,-0.2338878
1.919251442,-0.1564379,-0.8075996,-0.1985493,-0.5296328
1.939269066,-0.203129,-0.6166499,-0.1316252,-0.7468489
1.959287643,-0.2050418,-0.6130792,-0.1415668,-0.7474478
1.979306221,-0.1902292,-0.6256272,-0.1271046,-0.7435561
1.999323845,-0.1864667,-0.6212785,-0.124028,-0.7486573
2.019342422,-0.2045972,-0.6128393,-0.1431503,-0.7474648
2.039361000,-0.1890046,-0.6183736,-0.1275348,-0.7498359
2.059379101,-0.1735651,-0.6289762,-0.1161564,-0.7465918
2.079397202,-0.1707019,-0.6228204,-0.1118118,-0.753048
2.099415302,-0.1888379,-0.6201714,-0.141291,-0.7459171
2.119433880,-0.1782666,-0.6228911,-0.1283308,-0.7485897
2.139451981,-0.1754454,-0.6164151,-0.1278738,-0.7546703
2.159470081,-0.1749617,-0.6133594,-0.1307772,-0.7567719
2.179488659,-0.1885176,-0.6164852,-0.151313,-0.7470871
2.199506283,-0.1821932,-0.6251338,-0.1487483,-0.741967
2.219524860,-0.1618558,-0.6194327,-0.1210688,-0.7563569
2.239543438,-0.1649698,-0.620648,-0.1308246,-0.7530561
