Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.06810828,0.03515413,-0.0009638127,0.04879861,-0.1658302,0.9721299,-34.48636,23.84736,-2.822949,890.5763
0.020018578,0.1165378,0.09412506,-0.001057066,0.04586611,-0.1639045,0.9706877,-34.48636,23.84736,-2.822949,890.5763
0.040036678,-0.0682879,-0.02397034,-0.06210427,0.04635218,-0.1634133,0.9726257,-33.7472,24.5735,-4.120562,890.5763
0.060055256,0.1162234,-0.02376188,-0.2450404,0.042434,-0.1566292,0.9746026,-33.7472,24.5735,-4.120562,890.5732
0.080072880,-0.006768398,0.153531,-0.001220563,0.04634468,-0.1527253,0.9712648,-34.11564,24.21125,-3.689437,890.5732
0.100091457,-0.1298765,0.09441994,-0.0619995,0.0473301,-0.1638939,0.9726247,-34.11564,24.21125,-3.689437,890.5763
0.120110035,-0.006657176,-0.201039,0.05994976,0.05026419,-0.1643652,0.9716634,-34.11564,24.21125,-3.689437,890.5763
0.140127659,0.05501873,-0.08280516,-0.000925485,0.0487966,-0.1667987,0.9745375,-34.48871,24.58499,-3.691764,890.5745
0.160146236,-0.006604686,0.03529869,0.1816908,0.04928782,-0.1643719,0.9706941,-34.48871,24.58499,-3.691764,890.5745
0.180164814,-0.006491408,0.03524718,0.1815217,0.04830507,-0.1629148,0.974085,-34.47949,23.85224,-4.129041,890.5745
0.200183392,0.1780773,-0.02378921,0.0595784,0.04831004,-0.163406,0.970216,-34.47949,23.85224,-4.129041,890.5763
0.220201016,0.1164927,-0.02387781,0.05952451,0.04781246,-0.1551462,0.9717323,-34.47949,23.85224,-4.129041,890.5763
0.240219593,0.1164901,-0.1420106,-0.2453194,0.045863,-0.16293,0.9726282,-34.85486,24.22436,-3.696003,890.5745
0.257735252,-0.1296877,0.212527,-0.1231591,0.04635244,-0.1643845,0.9731007,-34.85486,24.22436,-3.696003,890.5745
0.277753830,0.1165792,0.09424563,0.1206417,0.04684054,-0.1609831,0.9711979,-34.85832,24.59154,-3.695047,890.5745
0.297771931,-0.006993338,0.03533903,0.1814653,0.04683116,-0.15272,0.9731988,-34.85832,24.59154,-3.695047,890.5745
0.317790032,-0.1916636,-0.02353087,-0.1235317,0.04586674,-0.1600219,0.9673381,-34.85832,24.59154,-3.695047,890.5745
0.337808609,-0.1300643,-0.2008351,-0.1233364,0.04536689,-0.1609824,0.977474,-34.11564,24.21125,-3.689437,890.5745
0.357826710,0.0549885,0.3898348,0.05970206,0.04538634,-0.1624614,0.9620022,-34.11564,24.21125,-3.689437,890.5745
0.377844811,0.1164903,0.09435721,0.120583,0.04684557,-0.166814,0.9711497,-34.48407,23.84899,-3.258313,890.5745
0.397862911,-0.3145659,0.03545049,0.05942175,0.0488045,-0.1706913,0.9706404,-34.48407,23.84899,-3.258313,890.5745
0.417881489,-0.4377704,0.09449512,0.05940649,0.04830193,-0.163882,0.9774588,-34.48407,23.84899,-3.258313,890.5745
0.437900066,-0.06866811,-0.02347106,0.1811276,0.04584699,-0.1595134,0.9837681,-34.48754,24.21618,-3.257357,890.5728
0.457917690,0.05491883,-4.807228,-0.5503759,0.2712367,-0.1370181,0.9063674,-34.48754,24.21618,-3.257357,890.5728
0.477936268,-8.625406,-19.15862,-0.9161012,0.6999132,-0.1594927,0.8929763,-34.48871,24.58499,-3.691764,890.5709
0.497954846,-22.04605,-11.12656,2.009701,0.5894346,-0.2556964,0.978808,-34.48871,24.58499,-3.691764,890.5709
0.517972469,-46.97889,7.654269,2.924014,-0.1656437,-0.1655917,1.283096,-34.48871,24.58499,-3.691764,890.5709
0.537991047,-68.21799,-36.34485,5.17932,1.356095,-0.3377097,1.209912,-34.50715,26.05047,-2.817209,890.5709
0.558009625,-96.72146,-40.77429,11.27474,1.422959,-0.9927263,0.934628,-34.50715,26.05047,-2.817209,890.5709
0.578027725,-10.04135,6.650262,9.202299,0.6770834,-1.083049,1.44084,-32.3483,23.79634,0.6169214,890.5709
0.598045826,-100.2921,-28.48998,7.068901,-0.2775337,0.03653179,-1.802664,-32.3483,23.79634,0.6169214,890.5692
0.618064404,-17.55198,-1.854266,-2.318048,0.6443577,-0.3144366,0.4509263,-32.3483,23.79634,0.6169214,890.5692
0.638082504,-116.914,-19.21768,3.045923,0.6354363,-0.5800403,-0.08272533,-23.24139,20.09903,-2.732608,890.5709
0.658100605,-215.845,-32.97848,10.48234,0.4248389,-0.2611815,0.4685828,-23.24139,20.09903,-2.732608,890.5709
