Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.534250260,45.56641,74.34375,3.72375,312.1875,0
1.589322090,45.55469,74.25,3.725,279.0625,0
2.643953800,45.54297,74.34375,3.72375,265,0
3.698787689,45.54297,74.4375,3.726875,271.5625,0
4.578163147,45.53125,74.25,3.723125,278.125,0
5.632647991,45.51953,74.25,3.724375,282.8125,0
6.687519550,45.50781,74.34375,3.726875,270.625,0
7.566445828,45.49219,74.34375,3.725625,266.875,0
8.621140003,45.48047,74.34375,3.726875,258.75,0
9.676001072,45.48047,74.53125,3.725625,263.4375,0
10.555108547,45.46875,74.53125,3.72625,282.8125,0
11.610434055,45.45703,74.4375,3.72625,271.875,0
12.664546967,45.44531,74.4375,3.72375,270.3125,0
13.543369293,45.43359,74.4375,3.724375,259.6875,0
14.598366738,45.42188,74.53125,3.7275,261.25,0
15.653062821,45.42188,74.4375,3.726875,276.25,0
16.707689285,45.41016,74.34375,3.725,279.375,0
17.587274552,45.39453,74.34375,3.72375,266.5625,0
18.641545773,45.38281,73.875,3.72375,280.625,0
19.696166992,45.37109,73.875,3.728125,276.5625,0
20.575175285,45.35938,73.96875,3.72375,266.875,0
21.630092144,45.35938,74.0625,3.726875,265.3125,0
22.685014248,45.34766,74.0625,3.72375,263.125,0
23.564353466,45.33594,74.0625,3.72625,269.0625,0
24.618859291,45.32422,74.15625,3.726875,269.6875,0
25.673713684,45.3125,74.25,3.72375,263.4375,0
26.552681923,45.29688,74.25,3.724375,269.375,0
27.607467652,45.29688,74.34375,3.7275,261.25,0
28.662451744,45.28516,74.34375,3.729375,257.5,0
29.541461945,45.27344,74.15625,3.725,264.0625,0
