Time (s),Humidity (%)
0.706656456,20.60547
1.707744122,21.1416
2.706353665,18.1123
3.707606793,17.77832
4.706216335,18.20801
5.707304001,16.97852
6.708520889,16.13086
7.707129479,17.52637
8.708216667,17.43164
9.706824780,15.22266
10.707911015,16.26074
11.706519127,16.21289
12.707603932,16.77344
13.706211567,14.76758
14.707295418,15.90039
15.708379746,16.71191
16.706984520,15.38672
17.708067417,15.45801
18.706671715,16.07813
19.707753182,14.91895
20.706356526,15.63477
21.707436085,14.91797
22.706342697,15.32324
23.707421780,16.79004
24.706021786,16.95605
25.707312584,15.82129
26.708388806,17.39551
27.706986427,16.52344
28.708158016,17.13086
29.706754208,16.23535
