Time (s),Power (dBm),Percentage (%)
0.209633350,-73,54
0.709836006,-75,50
1.209661007,-67,66
1.709931851,-67,66
2.209679127,-65,70
2.709739685,-65,70
3.209789753,-67,66
3.710039139,-69,62
4.209708691,-69,62
4.709831238,-62,76
5.209712982,-73,54
5.709848881,-62,76
6.209979057,-67,66
6.709994316,-67,66
7.209739208,-65,70
7.709934235,-69,62
8.209879875,-67,66
8.709815979,-62,76
9.209663391,-67,66
9.709827900,-57,86
10.209645271,-65,70
10.709947586,-67,66
11.209778786,-59,82
11.709762097,-67,66
12.209700584,-60,80
12.709887028,-69,62
13.209565640,-67,66
13.709681511,-69,62
14.209559917,-71,58
14.709870339,-65,70
15.209660053,-67,66
15.709828377,-60,80
16.209431648,-67,66
16.709832668,-69,62
17.209599495,-64,72
17.709639549,-65,70
18.209389687,-67,66
18.709569931,-67,66
19.209571362,-65,70
19.709667206,-65,70
20.209337235,-65,70
20.709479809,-67,66
21.209487438,-64,72
21.709606171,-60,80
22.209396362,-62,76
22.709739685,-64,72
23.209519386,-67,66
23.709883213,-69,62
24.209684849,-60,80
24.709836006,-65,70
25.209729672,-65,70
25.710029125,-73,54
26.209838390,-60,80
26.709944725,-57,86
27.209625244,-67,66
27.709835529,-62,76
28.209871292,-69,62
28.710002422,-67,66
29.209722996,-60,80
29.709876537,-60,80
