Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.706656456,43.884,32.692
1.707744122,43.912,32.694
2.706353665,43.914,32.694
3.707606793,43.862,32.694
4.706216335,43.844,32.694
5.707304001,43.846,32.692
6.708520889,43.89,32.692
7.707129479,43.868,32.69
8.708216667,43.852,32.69
9.706824780,43.818,32.688
10.707911015,43.818,32.686
11.706519127,43.804,32.684
12.707603932,43.764,32.682
13.706211567,43.782,32.678
14.707295418,43.736,32.674
15.708379746,43.736,32.672
16.706984520,43.726,32.668
17.708067417,43.668,32.664
18.706671715,43.616,32.662
19.707753182,43.674,32.658
20.706356526,43.576,32.654
21.707436085,43.636,32.648
22.706342697,43.584,32.644
23.707421780,43.538,32.64
24.706021786,43.494,32.634
25.707312584,43.518,32.63
26.708388806,43.508,32.624
27.706986427,43.412,32.62
28.708158016,43.436,32.614
29.706754208,43.41,32.608
