Time (s),W,X,Y,Z
0.000000000,-0.2042726,0.662084,0.1942738,-0.6919558
0.020018101,-0.2084652,0.6607473,0.1957328,-0.6915718
0.040035725,-0.2003831,0.6718441,0.1995485,-0.6821144
0.060052872,-0.1869211,0.6826372,0.1936047,-0.6769134
0.080070496,-0.176133,0.6855771,0.1844206,-0.6793952
0.100088596,-0.1824166,0.6802194,0.1851152,-0.6829244
0.120106220,-0.1914768,0.6827816,0.1950399,-0.6750801
0.140123844,-0.1899526,0.6922455,0.2030108,-0.6634218
0.160141945,-0.1825391,0.6963545,0.2045607,-0.6607211
0.180159569,-0.1715461,0.7086545,0.2052498,-0.6502929
0.200177193,-0.1663099,0.7172523,0.2099216,-0.6406644
0.220195293,-0.1595897,0.7207152,0.2067157,-0.6395287
0.240212917,-0.1034037,0.857814,0.2310931,-0.4434873
0.260230541,-0.04026416,0.9599944,0.2412971,-0.1232373
0.280248642,-0.005289459,0.9683993,0.2398793,0.03550158
0.300266266,-0.03243424,0.9679694,0.2369959,0.04942695
0.320283890,-0.09930268,0.9649405,0.2267869,0.0649932
0.340301991,-0.145866,0.9615291,0.2185507,0.05520956
0.360319138,-0.1610574,0.9562756,0.2210564,0.08578614
0.380336762,-0.1337228,0.9601085,0.2231805,0.08442751
0.400354385,-0.1619814,0.9575633,0.2180754,0.07684657
0.420372486,-0.1526835,0.9579093,0.2215927,0.08137474
0.440390110,-0.1514177,0.9591035,0.2191406,0.07614371
0.460408211,-0.1611533,0.9561761,0.2158355,0.09899288
0.480425835,-0.1397339,0.9597518,0.221186,0.08399403
0.500443459,-0.1755857,0.954693,0.2156776,0.08855297
0.520461559,-0.1528546,0.9582652,0.2184437,0.08528157
0.540479183,-0.1731574,0.9563131,0.2116933,0.0854114
0.560496807,-0.1549917,0.9564357,0.2163075,0.1051042
0.580514908,-0.07496557,0.9649414,0.2267871,0.09199595
0.600532532,-0.0395992,0.9682943,0.2256571,0.08089819
0.620550156,-0.02345088,0.9692538,0.2253455,0.07644495
0.640567303,0.02053507,0.968233,0.2264879,0.08621941
0.660585404,0.08548293,0.924348,0.2075735,0.3030003
0.680603028,0.1442844,0.7766252,0.1530923,0.5909488
0.700620651,0.1713449,0.68503,0.1364867,0.6923681
0.720638752,0.168846,0.680992,0.134637,0.6973101
0.740656376,0.1596876,0.683906,0.1261448,0.6982031
0.760674000,0.158605,0.68461,0.128608,0.6973101
0.780692100,0.1616934,0.6833578,0.1315236,0.6972853
0.800709724,0.1480457,0.6912587,0.1233334,0.6940176
0.820727825,0.1382646,0.6908761,0.1186109,0.6972318
0.840745449,0.1476229,0.6892122,0.1345279,0.6940632
0.860763073,0.1585146,0.6856775,0.1423116,0.6936098
0.880781174,0.1524094,0.6841331,0.1397473,0.6970162
0.900798798,0.1446533,0.6799704,0.1342572,0.7037885
0.920815945,0.147183,0.681976,0.1391684,0.700361
0.940833569,0.1525399,0.6873062,0.1494859,0.6918262
0.960851669,0.1392329,0.6828198,0.1348669,0.7020042
0.980869293,0.1229719,0.6862491,0.1225402,0.7039543
1.000886917,0.1387745,0.6790304,0.1422126,0.7043171
1.020905018,0.1416687,0.678581,0.1514921,0.7022362
1.040922642,0.1342952,0.6794904,0.1502561,0.7030707
1.060940266,0.1337786,0.6698216,0.149993,0.7124407
1.080958366,0.1835463,0.4582402,0.11497,0.8600762
1.100975990,0.2177389,0.1579328,0.02542013,0.9610532
1.120993614,0.2209266,0.03072312,-0.00196101,0.9730732
1.141011715,0.223463,0.05018819,-0.05168531,0.9703096
1.161029339,0.2235038,0.05027852,-0.1049576,0.9659864
1.181046486,0.2250155,0.08700072,-0.1619214,0.9550958
1.201064110,0.2217905,0.06310072,-0.1722218,0.9559261
1.221082211,0.222524,0.04749883,-0.1481578,0.9606788
1.241099834,0.2208529,0.0653491,-0.1741309,0.955646
1.261117935,0.2213068,0.06063855,-0.168661,0.9568319
1.281135559,0.2236796,0.0718426,-0.175708,0.9542328
1.301153183,0.2233339,0.04084476,-0.1723865,0.9567468
1.321171284,0.2249891,0.05627952,-0.1637049,0.9571002
1.341188908,0.2233447,0.06495195,-0.1996392,0.9500895
1.361206532,0.2239847,0.04959825,-0.167321,0.9570799
1.381224632,0.2243244,0.06232364,-0.2050816,0.9488748
1.401242256,0.2231326,0.03964256,-0.1914943,0.953204
1.421259403,0.2232601,0.01261567,-0.1046922,0.9672964
1.441277027,0.22756,0.01508661,-0.07757005,0.9688134
1.461295128,0.2286105,0.006580877,-0.05266195,0.9703341
1.481312752,0.228767,-0.02830989,-0.0241118,0.9710357
1.501330376,0.2210604,-0.2928979,-0.07653599,0.9252608
1.521348477,0.2007557,-0.5828839,-0.1551361,0.7697393
1.541366100,0.1718843,-0.6549535,-0.1578196,0.7163883
1.561383724,0.1818322,-0.652773,-0.1704386,0.7130235
1.581401825,0.1828816,-0.6574125,-0.1759954,0.7071183
1.601419449,0.1767843,-0.6609939,-0.1760757,0.705308
1.621437550,0.1777764,-0.6623223,-0.1727425,0.7046362
1.641455174,0.1861751,-0.664677,-0.1897199,0.6958286
1.661472321,0.1920915,-0.6708252,-0.2039199,0.6842066
1.681489945,0.1685679,-0.6790599,-0.1844215,0.6878073
1.701508045,0.1656753,-0.6811284,-0.1797314,0.6877065
1.721525669,0.1627507,-0.6883336,-0.1826528,0.6804224
1.761561394,0.1513877,-0.6970454,-0.1868593,0.6729938
1.781579018,0.1514265,-0.6952192,-0.1801231,0.6767004
1.801596641,0.1664009,-0.7000886,-0.1989852,0.6627362
1.821614742,0.1677135,-0.7076917,-0.2103432,0.6507134
1.841632366,0.1537667,-0.719622,-0.2042027,0.6429843
1.861649990,0.1409027,-0.7244645,-0.2010661,0.6414807
1.881668091,0.1335822,-0.7309163,-0.2032412,0.6350101
1.901685238,0.1281996,-0.7488651,-0.20758,0.613436
1.921702862,0.05679119,-0.9024382,-0.2254492,0.3580154
1.941720486,0.004117642,-0.9730394,-0.2212536,0.02909899
1.961738586,-0.01307417,-0.9726264,-0.2184759,-0.0521816
1.981756210,0.04584476,-0.9730092,-0.211095,-0.05672156
2.001773834,0.09275325,-0.9698017,-0.206367,-0.07015575
2.021791935,0.1547258,-0.9642895,-0.1952167,-0.0687296
2.041809559,0.1422466,-0.9635293,-0.1997411,-0.09004565
2.061827660,0.1212535,-0.9663724,-0.2014297,-0.08646219
2.081845284,0.1539431,-0.9622251,-0.1960328,-0.09286083
2.101862907,0.1331259,-0.9656578,-0.1973904,-0.08629762
2.121880055,0.1505634,-0.9641245,-0.1917369,-0.08751555
2.141898155,0.1516649,-0.9616834,-0.1929246,-0.1075661
2.161915779,0.1360929,-0.9666332,-0.1932298,-0.07992753
2.181933403,0.1583867,-0.9615561,-0.1924191,-0.09962916
2.201951504,0.1329128,-0.9652014,-0.1943707,-0.09781624
2.221969128,0.1738715,-0.9603806,-0.1842385,-0.1006053
2.241986752,0.1259725,-0.9654537,-0.1931549,-0.1065307
2.262004852,0.02909444,-0.9719164,-0.2039979,-0.09769458
2.282022476,0.02140974,-0.9735142,-0.2001971,-0.09143598
2.302040100,-0.01255081,-0.9735851,-0.2039241,-0.08376726
2.322058201,-0.04792273,-0.9694394,-0.2003508,-0.119906
2.339573383,-0.1092608,-0.9009308,-0.1719054,-0.3787565
2.359591007,-0.1513334,-0.731066,-0.1076029,-0.6539762
2.379608631,-0.1751239,-0.6756113,-0.1123575,-0.7049002
2.399626732,-0.1617195,-0.6855024,-0.1036383,-0.6998715
2.419644356,-0.1499272,-0.6868919,-0.09484108,-0.7023776
2.439661980,-0.15827,-0.6870608,-0.107467,-0.6985533
2.459680081,-0.1562494,-0.685474,-0.1056968,-0.7008333
2.479697228,-0.1332439,-0.6935769,-0.08713254,-0.7001662
2.499714851,-0.1289235,-0.6918306,-0.08570109,-0.7028741
2.519732952,-0.1481065,-0.6863865,-0.1106393,-0.7009456
2.539750576,-0.149943,-0.6878139,-0.1112805,-0.6990519
2.559768200,-0.1458543,-0.6840495,-0.1128742,-0.703342
2.579786301,-0.1343929,-0.6795022,-0.1030656,-0.7114917
2.599803925,-0.1440848,-0.6854813,-0.1169168,-0.7016503
2.619821549,-0.1416676,-0.690541,-0.1211319,-0.6964468
2.639839649,-0.1232809,-0.6885596,-0.1033565,-0.7047216
2.659857273,-0.1174407,-0.6829093,-0.09915342,-0.7117856
2.679874420,-0.1200971,-0.6841829,-0.1085,-0.7087494
2.699892044,-0.1262616,-0.6808657,-0.1224968,-0.7085916
2.719910145,-0.1239963,-0.6840177,-0.1285028,-0.7048824
2.739927769,-0.1256016,-0.6630343,-0.1193617,-0.7259406
2.759945393,-0.1714259,-0.408121,-0.07764003,-0.8914286
2.779963493,-0.1950775,-0.0986842,0.008635555,-0.9740399
2.799981117,-0.1948595,-0.02212168,0.02382374,-0.9785706
2.819998741,-0.197899,-0.04523541,0.07951183,-0.9742148
2.840016842,-0.1997909,-0.04519013,0.1315178,-0.9681798
2.860034466,-0.2005746,-0.07421822,0.1930634,-0.9558324
2.880052090,-0.1974805,-0.05642673,0.1956351,-0.9571688
2.900069237,-0.1964496,-0.03892915,0.1725267,-0.9626808
2.920087337,-0.1960698,-0.05527784,0.2049224,-0.9555812
2.940104961,-0.1955611,-0.04970337,0.1942949,-0.958208
2.960123062,-0.1981569,-0.06030765,0.2061925,-0.9545726
2.980140686,-0.1983398,-0.04213936,0.2148318,-0.953604
3.000158310,-0.2004203,-0.05085671,0.178897,-0.9601399
3.020176411,-0.1977465,-0.0485893,0.2134644,-0.9537275
