Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.434331417,43.38281,70.6875,3.721875,280.3125,0
1.489286423,43.37109,70.78125,3.723125,269.0625,0
2.543968201,43.35938,70.96875,3.725,267.8125,0
3.422908306,43.34375,71.0625,3.725625,259.375,0
4.477985382,43.34375,70.875,3.725,264.0625,0
5.532735825,43.33203,70.96875,3.72375,264.375,0
6.411617756,43.32031,70.875,3.725625,275.3125,0
7.466391087,43.30859,70.875,3.721875,270.625,0
8.521312714,43.29688,70.96875,3.7225,253.125,0
9.400146961,43.28516,70.96875,3.72375,253.75,0
10.455207825,43.28516,70.96875,3.7275,257.1875,0
