Time (s),Power (dBm),Percentage (%)
0.051676750,-67,66
0.551774502,-62,76
1.051519394,-69,62
1.551617623,-65,70
2.051656723,-62,76
2.551752567,-64,72
3.051394939,-67,66
3.551553726,-60,80
4.051579475,-60,80
4.551651478,-69,62
5.051455975,-65,70
5.551837921,-65,70
6.051651001,-69,62
6.551959992,-67,66
7.051792622,-65,70
7.551884174,-60,80
8.051557064,-65,70
8.551894188,-60,80
9.051660061,-61,78
9.551751137,-67,66
10.051499367,-67,66
10.551673412,-67,66
11.051667690,-71,58
