Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.009990215,47.65331,-26.75361,-2.128565,0.5679849,-0.07267398,-0.895348,23.18127,25.9193,-9.72258,890.4741
0.029814243,-11.07254,13.01219,-4.270026,0.3011774,-0.6953633,-0.6733114,22.5759,27.08506,-4.688802,890.4741
0.049637318,46.03414,-54.50129,-2.923964,-0.1356062,1.282392,-0.0546611,22.5759,27.08506,-4.688802,890.4741
0.069460869,-17.42464,-51.55568,7.232678,0.7196749,-0.8174083,-0.4372019,22.5759,27.08506,-4.688802,890.4741
0.089284897,-112.9553,-49.43484,3.622787,-1.109336,0.5416375,-0.8088087,39.02446,15.91106,-28.96732,890.4741
0.109107971,159.002,139.6147,-12.89705,-0.7673836,0.1819896,-1.580952,39.02446,15.91106,-28.96732,890.4741
0.128931522,35.6964,79.7598,-2.86278,0.4202523,0.2504748,-0.7188774,17.08933,20.52595,-6.517671,890.4792
0.148755550,-148.2033,-39.24301,1.420142,0.1631971,0.2135504,-0.3840216,17.08933,20.52595,-6.517671,890.4792
0.168575287,-58.46423,22.55598,2.276726,-0.2103891,-0.542645,-0.9178345,17.08933,20.52595,-6.517671,890.4758
0.188398361,48.64971,23.43966,-4.453579,0.1969548,0.2871711,-0.6278659,23.20327,21.84187,-10.52143,890.4758
0.208222389,-44.45223,88.24317,14.81957,0.8401762,0.1426893,-0.1849185,23.20327,21.84187,-10.52143,890.4774
0.228045940,60.04614,496.6232,-96.35284,2.798478,1.948809,-7.781013,10.84538,20.08006,8.430212,890.4774
0.247869015,-124.5386,1929.9,-129.9432,11.7932,-0.6425953,-15.73303,10.84538,20.08006,8.430212,890.4774
0.270170689,-189.492,1732.78,-55.72627,-11.15676,4.648168,-9.828817,10.84538,20.08006,8.430212,890.4774
0.289994717,677.8819,-479.3178,-43.3058,-0.9902942,-1.324252,2.716423,5.734159,-11.92296,77.5252,890.4739
0.309817791,75.73958,-56.68105,-11.79573,-0.863387,-0.07336396,-1.009843,5.734159,-11.92296,77.5252,890.4739
0.329641342,448.8947,-53.97108,-56.46048,-2.44936,-0.04377634,-0.0838848,19.45923,-2.278573,16.69321,890.4739
0.349465370,582.6625,439.7728,-8.920054,-0.176436,2.452767,2.625803,19.45923,-2.278573,16.69321,890.4739
0.369285107,-264.534,-6.487779,1.236588,0.561093,-0.07271184,1.635494,19.45923,-2.278573,16.69321,890.4721
0.389108181,57.36829,-54.67803,33.54206,-0.9452326,-1.453656,3.234494,-0.5146008,20.48347,-1.563743,890.4721
0.408931732,8.357433,-61.80642,40.21118,0.7839486,0.4332615,2.903357,-0.5146008,20.48347,-1.563743,890.4739
0.428755760,-205.0609,17.48952,-25.19516,-1.79364,0.1668356,-1.369311,-4.517002,22.75495,0.5909243,890.4739
0.448578835,377.2155,139.9682,-23.35962,0.8555603,1.475086,2.802802,-4.517002,22.75495,0.5909243,890.4755
0.468402386,-199.2692,17.60734,13.16758,-1.602203,1.055488,-0.7661589,-4.517002,22.75495,0.5909243,890.4755
0.488226414,344.5831,8.063555,-7.084517,3.213841,1.918483,6.156016,-11.52578,14.39164,-1.673686,890.4755
0.508049488,-50.86661,-284.2592,36.41773,0.7003407,2.28152,1.806876,-11.52578,14.39164,-1.673686,890.4755
0.527873039,-35.98276,-8.903183,-2.985149,0.08417495,-2.934876,1.784926,-5.881184,25.04664,7.362604,890.4755
0.550175190,-99.31699,79.64198,18.00117,-2.940084,2.356157,-2.60614,-5.881184,25.04664,7.362604,890.4755
0.569993973,-467.4278,-77.18253,12.18863,0.3560399,0.2556361,0.388895,-5.881184,25.04664,7.362604,890.4755
0.589818001,-164.3949,48.5952,-14.85496,0.1618095,-0.2194026,-0.3340892,-6.733702,32.38651,6.002507,890.4755
0.609641552,-169.4393,-47.72638,7.538601,0.3547696,-0.1928371,0.9330253,-6.733702,32.38651,6.002507,890.4772
0.629465580,-408.6396,177.9666,27.24004,1.85247,-0.637275,2.625852,-10.28246,29.20058,9.11779,890.4772
0.649288654,-159.1015,594.8889,-73.65336,1.463816,2.488469,-6.27348,-10.28246,29.20058,9.11779,890.4772
0.669112206,-65.93729,1929.9,-210.5845,9.536399,0.7640121,-15.72823,-10.28246,29.20058,9.11779,890.4772
0.688936234,139.572,1927.956,-90.84623,-7.424603,-0.1122037,-15.03992,-20.98477,21.74999,45.57085,890.4772
0.708759308,131.6007,38.40338,25.22095,-2.34316,-0.1896981,-2.074749,-20.98477,21.74999,45.57085,890.4753
0.728582859,274.71,87.94861,8.578739,-0.1021676,-1.428824,-3.576988,0.4736195,31.62616,11.78881,890.4753
0.748406887,-97.19962,-50.25961,2.705019,0.7520925,0.7750364,-0.1322246,0.4736195,31.62616,11.78881,890.4736
0.768225670,19.00655,-44.13273,-1.883826,0.2445111,0.5537636,-0.076396,0.4736195,31.62616,11.78881,890.4736
0.788049698,28.28561,12.65871,5.030033,-0.3575596,0.09568401,-1.078582,29.45647,19.53122,-13.15545,890.4736
0.807873249,-2.167134,41.23117,-7.206886,-0.2278158,-0.02816847,-1.592672,29.45647,19.53122,-13.15545,890.4736
0.830175400,-144.7159,-112.471,14.81957,0.4448731,-0.2333176,-0.5339488,23.54382,27.37592,-9.320053,890.4736
0.849998474,40.55389,59.31724,-2.618041,0.2752521,0.1362804,-1.43394,23.54382,27.37592,-9.320053,890.4736
0.869822025,-75.65228,-13.14487,3.378049,-0.06387558,-0.02680985,-0.5529466,22.54322,27.80265,-5.572632,890.4719
0.889646053,79.22701,-21.98171,1.114219,0.466327,0.987836,-0.06458502,22.54322,27.80265,-5.572632,890.4719
0.909469128,53.38265,64.32478,-5.004241,0.2255776,-0.7385294,-1.289908,22.54322,27.80265,-5.572632,890.4736
0.929292679,-234.4549,-10.19925,14.33009,-1.513641,0.3774409,-0.2849008,39.75425,16.26428,-28.98801,890.4736
0.949116707,74.55634,162.1781,-1.088427,-0.4065463,-0.3812108,-1.842126,39.75425,16.26428,-28.98801,890.4736
0.968935490,175.6295,9.595274,-11.85692,0.4588528,0.1625165,-1.048882,17.81081,21.60753,-6.551269,890.4736
0.988759518,-99.37926,-73.17649,8.334002,0.1311123,0.5144374,-0.1948822,17.81081,21.60753,-6.551269,890.4755
1.008583069,-103.7386,16.66475,2.521465,-0.052527,-0.2229626,-2.113551,17.81081,21.60753,-6.551269,890.4755
1.028407097,-0.9216235,7.827906,-3.719364,0.211648,-0.4430045,-0.3317444,23.57225,20.73924,-10.88244,890.4772
1.048230171,1.071194,80.34892,-7.329256,1.158974,0.5278978,-1.161704,23.57225,20.73924,-10.88244,890.4772
1.068053722,-33.67856,658.573,-79.40471,4.446856,1.87071,-7.490294,10.16703,18.2855,9.720892,890.4823
1.087877750,-144.4668,1930.018,-118.5629,9.617272,-0.5907905,-15.72802,10.16703,18.2855,9.720892,890.4823
1.110178947,-622.3693,1137.942,-34.12811,-12.47429,2.178061,-14.02569,10.16703,18.2855,9.720892,890.4753
1.130002499,693.4507,-455.3405,-44.71304,1.805727,-0.4808253,5.603046,5.791208,-12.06525,66.44493,890.4753
1.149826527,158.317,-223.7563,-7.818732,-0.5522684,-0.6532356,-0.04020187,5.791208,-12.06525,66.44493,890.4753
1.169645309,663.4962,-586.8327,-71.38953,2.801759,3.57716,9.389811,16.82266,-0.4400749,15.03113,890.4753
1.189469338,1074.764,701.6379,-35.78009,-0.6671345,6.08214,4.419719,16.82266,-0.4400749,15.03113,890.4753
1.209292889,-423.7103,-26.51796,13.41232,1.600121,-1.793591,0.2831856,16.82266,-0.4400749,15.03113,890.4753
1.229115963,-41.64983,-68.46351,15.00312,1.113809,2.203691,3.917758,-0.4982605,20.12468,-1.121828,890.477
